Id,Length,Diameters,Mass,PaperWeight,Area,DiameterAverage,DiameterSTD,DiameterEST,Volume
1,5.0,"[1.1, 1.0, 1.1, 1.1, 1.1, 0.8]",0.19,80,"[24.0,26.0]","[0.93,1.13]",0.11,0.02,"[0.41,0.74]"
2,7.5,"[1.5, 1.5, 1.4, 1.6, 1.5, 1.4]",0.49,80,"[54.75,57.75]","[1.38,1.58]",0.07,0.02,"[1.35,2.04]"
3,10.0,"[1.9, 1.8, 1.9, 2.0, 1.9, 1.8]",0.82,80,"[98.0,102.0]","[1.78,1.98]",0.07,0.02,"[2.92,4.03]"
4,12.5,"[2.4, 1.9, 2.1, 2.2, 2.2, 2.0]",1.3,80,"[153.75,158.75]","[2.02,2.24]",0.16,0.04,"[4.28,5.84]"
5,15.0,"[2.7, 2.4, 2.4, 2.7, 2.5, 2.2]",1.85,80,"[222.0,228.0]","[2.37,2.59]",0.18,0.04,"[6.92,9.05]"
6,17.5,"[3.3, 2.9, 3.0, 3.0, 2.8, 3.2]",2.53,80,"[302.75,309.75]","[2.92,3.14]",0.17,0.04,"[12.98,16.15]"
7,20.0,"[3.5, 3.4, 3.2, 3.5, 3.4, 3.3]",3.26,80,"[396.0,404.0]","[3.28,3.48]",0.11,0.02,"[18.42,22.01]"
8,22.5,"[4.0, 3.6, 3.7, 3.7, 4.0, 3.7]",4.22,80,"[501.75,510.75]","[3.67,3.89]",0.16,0.04,"[25.81,30.75]"
9,25.0,"[4.5, 4.1, 3.9, 3.7, 3.9, 4.2]",5.14,80,"[620.0,630.0]","[3.93,4.17]",0.26,0.06,"[31.69,37.87]"
10,30.0,"[4.7, 4.3, 4.6, 4.2, 4.4, 4.4]",7.49,80,"[894.0,906.0]","[4.32,4.54]",0.17,0.04,"[42.13,48.91]"
11,5.0,"[1.3, 1.2, 1.4, 1.4, 1.3, 1.2]",0.36,150,"[24.0,26.0]","[1.2,1.4]",0.08,0.02,"[0.88,1.42]"
12,7.5,"[1.7, 1.4, 1.3, 1.8, 1.7, 1.7]",0.85,150,"[54.75,57.75]","[1.49,1.71]",0.18,0.04,"[1.7,2.59]"
13,10.0,"[2.5, 2.3, 2.3, 2.4, 2.1, 2.0]",1.51,150,"[98.0,102.0]","[2.16,2.38]",0.17,0.04,"[5.23,7.01]"
14,12.5,"[2.9, 2.5, 2.1, 3.1, 2.7, 2.1]",2.81,150,"[153.75,158.75]","[2.44,2.7]",0.38,0.08,"[7.54,10.24]"
15,15.0,"[3.1, 3.0, 3.0, 3.2, 2.6, 2.7]",3.46,150,"[222.0,228.0]","[2.82,3.04]",0.21,0.05,"[11.69,14.65]"
16,5.0,"[1.6, 1.4, 1.7, 1.6, 1.5, 1.4]",0.64,240,"[24.0,26.0]","[1.43,1.63]",0.11,0.02,"[1.51,2.24]"
17,7.5,"[2.2, 1.8, 2.3, 2.5, 2.1, 2.1]",1.34,240,"[54.75,57.75]","[2.06,2.28]",0.21,0.05,"[4.54,6.16]"
18,10.0,"[3.3, 2.8, 2.9, 3.0, 3.2, 2.4]",2.44,240,"[98.0,102.0]","[2.81,3.05]",0.29,0.06,"[11.55,14.79]"
19,12.5,"[3.5, 3.4, 3.3, 3.2, 3.2, 3.0]",3.76,240,"[153.75,158.75]","[3.16,3.38]",0.16,0.04,"[16.46,20.16]"
20,15.0,"[4.0, 4.1, 3.9, 4.1, 3.7, 3.6]",5.51,240,"[222.0,228.0]","[3.79,4.01]",0.19,0.04,"[28.43,33.69]"
